COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
LVA,,ALL,1984,
LTU,,ALL,1984,
LUX,,ALL,1984,
MLT,,ALL,1984,
MCO,,ALL,1984,
MNE,,ALL,1984,
NLD,,ALL,1984,
NOR,,ALL,1984,
POL,,ALL,1984,
PRT,,ALL,1984,6
MDA,,ALL,1984,
ROU,,ALL,1984,
RUS,,ALL,1984,
SMR,,ALL,1984,
SRB,,ALL,1984,
SVK,,ALL,1984,
SVN,,ALL,1984,
ESP,,ALL,1984,
SWE,,ALL,1984,
CHE,,ALL,1984,
TJK,,ALL,1984,
MKD,,ALL,1984,
TUR,,ALL,1984,
TKM,,ALL,1984,
UKR,,ALL,1984,
GBR,,ALL,1984,
UZB,,ALL,1984,
,WHO_EURO,ALL,1984,
,EU_BEFORE_MAY2004,ALL,1984,
,EU_AFTER_MAY2004,ALL,1984,
,CIS,ALL,1984,
,CARINFONET,ALL,1984,
,SEEHN,ALL,1984,
,NORDIC,ALL,1984,
,SMALL,ALL,1984,
ALB,,ALL,1985,
AND,,ALL,1985,
ARM,,ALL,1985,
AUT,,ALL,1985,8
AZE,,ALL,1985,
BLR,,ALL,1985,44
BEL,,ALL,1985,
BIH,,ALL,1985,
BGR,,ALL,1985,
HRV,,ALL,1985,
CYP,,ALL,1985,17
CZE,,ALL,1985,
DNK,,ALL,1985,3
EST,,ALL,1985,
FIN,,ALL,1985,
FRA,,ALL,1985,
GEO,,ALL,1985,
DEU,,ALL,1985,
GRC,,ALL,1985,21
HUN,,ALL,1985,
ISL,,ALL,1985,
IRL,,ALL,1985,
ISR,,ALL,1985,
ITA,,ALL,1985,
KAZ,,ALL,1985,
KGZ,,ALL,1985,49
LVA,,ALL,1985,49
LTU,,ALL,1985,
LUX,,ALL,1985,
MLT,,ALL,1985,
MCO,,ALL,1985,
MNE,,ALL,1985,
NLD,,ALL,1985,5
NOR,,ALL,1985,
POL,,ALL,1985,
PRT,,ALL,1985,6
MDA,,ALL,1985,
ROU,,ALL,1985,
RUS,,ALL,1985,
SMR,,ALL,1985,
SRB,,ALL,1985,
SVK,,ALL,1985,
SVN,,ALL,1985,
ESP,,ALL,1985,
SWE,,ALL,1985,
CHE,,ALL,1985,
TJK,,ALL,1985,
MKD,,ALL,1985,
TUR,,ALL,1985,
TKM,,ALL,1985,
UKR,,ALL,1985,
GBR,,ALL,1985,
UZB,,ALL,1985,
,WHO_EURO,ALL,1985,
,EU_BEFORE_MAY2004,ALL,1985,
,EU_AFTER_MAY2004,ALL,1985,
,CIS,ALL,1985,
,CARINFONET,ALL,1985,
,SEEHN,ALL,1985,
,NORDIC,ALL,1985,
,SMALL,ALL,1985,
ALB,,ALL,1986,
AND,,ALL,1986,
ARM,,ALL,1986,
AUT,,ALL,1986,8
AZE,,ALL,1986,
BLR,,ALL,1986,46
BEL,,ALL,1986,
BIH,,ALL,1986,
BGR,,ALL,1986,
HRV,,ALL,1986,
CYP,,ALL,1986,18
CZE,,ALL,1986,
DNK,,ALL,1986,3
EST,,ALL,1986,
FIN,,ALL,1986,
FRA,,ALL,1986,
GEO,,ALL,1986,
DEU,,ALL,1986,
GRC,,ALL,1986,21
HUN,,ALL,1986,
ISL,,ALL,1986,
IRL,,ALL,1986,
ISR,,ALL,1986,
ITA,,ALL,1986,
KAZ,,ALL,1986,
KGZ,,ALL,1986,51
LVA,,ALL,1986,
LTU,,ALL,1986,
LUX,,ALL,1986,
MLT,,ALL,1986,
MCO,,ALL,1986,
MNE,,ALL,1986,13
NLD,,ALL,1986,
NOR,,ALL,1986,
POL,,ALL,1986,
PRT,,ALL,1986,7
MDA,,ALL,1986,
ROU,,ALL,1986,
RUS,,ALL,1986,
SMR,,ALL,1986,
SRB,,ALL,1986,
SVK,,ALL,1986,
SVN,,ALL,1986,
ESP,,ALL,1986,
SWE,,ALL,1986,
CHE,,ALL,1986,
TJK,,ALL,1986,
MKD,,ALL,1986,
TUR,,ALL,1986,
TKM,,ALL,1986,
UKR,,ALL,1986,
GBR,,ALL,1986,
UZB,,ALL,1986,
,WHO_EURO,ALL,1986,
,EU_BEFORE_MAY2004,ALL,1986,
,EU_AFTER_MAY2004,ALL,1986,
,CIS,ALL,1986,
,CARINFONET,ALL,1986,
,SEEHN,ALL,1986,
,NORDIC,ALL,1986,
,SMALL,ALL,1986,
ALB,,ALL,1987,
AND,,ALL,1987,
ARM,,ALL,1987,
AUT,,ALL,1987,8
AZE,,ALL,1987,
BLR,,ALL,1987,46
BEL,,ALL,1987,
BIH,,ALL,1987,
BGR,,ALL,1987,
HRV,,ALL,1987,
CYP,,ALL,1987,21
CZE,,ALL,1987,
DNK,,ALL,1987,3
EST,,ALL,1987,
FIN,,ALL,1987,
FRA,,ALL,1987,
GEO,,ALL,1987,
DEU,,ALL,1987,
GRC,,ALL,1987,22
HUN,,ALL,1987,
ISL,,ALL,1987,
IRL,,ALL,1987,
ISR,,ALL,1987,
ITA,,ALL,1987,
KAZ,,ALL,1987,
KGZ,,ALL,1987,55
LVA,,ALL,1987,
LTU,,ALL,1987,
LUX,,ALL,1987,
MLT,,ALL,1987,
MCO,,ALL,1987,
MNE,,ALL,1987,
NLD,,ALL,1987,
NOR,,ALL,1987,
POL,,ALL,1987,
PRT,,ALL,1987,7
MDA,,ALL,1987,
ROU,,ALL,1987,
RUS,,ALL,1987,
SMR,,ALL,1987,
SRB,,ALL,1987,
SVK,,ALL,1987,
SVN,,ALL,1987,
ESP,,ALL,1987,
SWE,,ALL,1987,
CHE,,ALL,1987,
TJK,,ALL,1987,
MKD,,ALL,1987,
TUR,,ALL,1987,
TKM,,ALL,1987,
UKR,,ALL,1987,
GBR,,ALL,1987,
UZB,,ALL,1987,
,WHO_EURO,ALL,1987,
,EU_BEFORE_MAY2004,ALL,1987,
,EU_AFTER_MAY2004,ALL,1987,
,CIS,ALL,1987,
,CARINFONET,ALL,1987,
,SEEHN,ALL,1987,
,NORDIC,ALL,1987,
,SMALL,ALL,1987,
ALB,,ALL,1988,
AND,,ALL,1988,
ARM,,ALL,1988,
AUT,,ALL,1988,8
AZE,,ALL,1988,
BLR,,ALL,1988,47
BEL,,ALL,1988,
BIH,,ALL,1988,
BGR,,ALL,1988,
HRV,,ALL,1988,
CYP,,ALL,1988,23
CZE,,ALL,1988,
DNK,,ALL,1988,3
EST,,ALL,1988,
FIN,,ALL,1988,
FRA,,ALL,1988,
GEO,,ALL,1988,
DEU,,ALL,1988,
GRC,,ALL,1988,21
HUN,,ALL,1988,
ISL,,ALL,1988,
IRL,,ALL,1988,
ISR,,ALL,1988,
ITA,,ALL,1988,
KAZ,,ALL,1988,
KGZ,,ALL,1988,56
